water.lammps.data (written by ASE) 

360 	 atoms 
2  atom types
0.0                   12.42  xlo xhi
0.0                   12.42  ylo yhi
0.0                   50.00  zlo zhi


Atoms 

    1   1      9.07473 5.67591 34.3035
    2   2      9.97581 5.5812 33.8875
    3   2      9.13965 6.04558 35.1656
    4   1      1.6211 11.7964 18.454
    5   2      2.48266 11.6938 18.9574
    6   2      1.02947 12.2458 19.0732
    7   1      5.99249 2.24505 28.4321
    8   2      6.5056 2.70691 27.6754
    9   2      6.48964 1.39702 28.5025
    10   1     10.0703 3.09748 31.3512
    11   2     9.52402 3.45793 30.6188
    12   2     10.613 3.88201 31.67
    13   1     7.32661 1.94324 19.6962
    14   2     7.44929 1.59358 20.5921
    15   2     7.10729 2.8796 19.6266
    16   1     12.0709 6.75492 16.1401
    17   2     11.3077 6.1365 16.246
    18   2     0.116006 6.60506 16.95
    19   1     2.91299 7.76078 26.8798
    20   2     2.86549 6.90382 26.3911
    21   2     3.61941 7.69206 27.4867
    22   1     6.86327 7.84744 32.9609
    23   2     7.20754 7.13288 32.3689
    24   2     6.19369 7.36334 33.521
    25   1     3.91956 5.66012 13.2272
    26   2     3.29444 5.99214 13.9416
    27   2     3.40285 5.06207 12.6118
    28   1     10.0179 6.45144 30.4628
    29   2     9.14257 6.13978 30.7846
    30   2     9.98855 7.37498 30.211
    31   1     3.12804 3.49853 17.1248
    32   2     3.71246 3.70206 16.4078
    33   2     2.57715 2.75032 17.0003
    34   1     3.99043 9.91556 33.9648
    35   2     4.10782 10.8242 34.3295
    36   2     4.53269 9.33256 34.5039
    37   1     1.56206 10.9511 24.9069
    38   2     1.25373 10.1739 25.3895
    39   2     2.45195 11.0507 25.1908
    40   1     5.96428 3.88072 30.7052
    41   2     5.88219 3.30614 31.5503
    42   2     5.96177 3.2603 29.958
    43   1     3.78907 9.30948 15.4728
    44   2     2.90367 9.76359 15.5084
    45   2     3.55121 8.40377 15.2586
    46   1     1.01096 1.83932 16.9024
    47   2     0.166309 2.06139 17.371
    48   2     1.41389 1.12713 17.4346
    49   1     4.85711 5.92013 23.9144
    50   2     4.58143 6.77269 24.3633
    51   2     5.82718 5.93556 23.7921
    52   1     1.15201 10.5868 16.0919
    53   2     0.983751 11.4048 15.5747
    54   2     1.16648 10.9613 17.0649
    55   1     9.35055 9.15263 29.3441
    56   2     9.20042 8.96221 28.3783
    57   2     10.0023 9.8717 29.3835
    58   1     3.08253 10.5316 29.4446
    59   2     3.60467 9.77454 29.7973
    60   2     3.2372 11.2847 30.0301
    61   1     7.17154 2.96826 25.7174
    62   2     7.32545 3.88764 25.7631
    63   2     6.50432 2.9322 25.0041
    64   1     12.0739 3.07241 27.2248
    65   2     11.9223 3.98623 27.6264
    66   2     12.2167 3.29493 26.2604
    67   1     5.49299 4.72125 36.0914
    68   2     6.27904 4.24952 35.9129
    69   2     4.74016 4.09995 35.9351
    70   1     3.85164 3.61054 25.0492
    71   2     3.84225 3.98425 25.9503
    72   2     4.35719 4.28867 24.5767
    73   1     4.71461 7.0151 34.6696
    74   2     5.04825 6.13524 35.0993
    75   2     3.7691 6.89868 34.7355
    76   1     8.81406 5.96523 26.7981
    77   2     8.88129 6.92314 26.9384
    78   2     9.54864 5.65128 26.2326
    79   1     11.074 5.35658 32.6545
    80   2     12.0315 5.38819 32.8443
    81   2     10.9145 5.86014 31.7475
    82   1     11.7419 1.66451 29.6683
    83   2     11.0409 2.05992 30.2165
    84   2     11.8044 2.03638 28.7781
    85   1     4.60992 8.36931 29.145
    86   2     5.54448 8.7224 29.2205
    87   2     4.45604 7.47874 29.5968
    88   1     10.8335 9.51391 16.2942
    89   2     11.6149 10.0575 16.1866
    90   2     11.2826 8.65035 16.0552
    91   1     10.8811 12.317 25.4925
    92   2     10.9926 11.4673 25.9514
    93   2     10.6591 11.8985 24.5971
    94   1     7.76511 7.58475 36.1176
    95   2     7.70761 7.8551 37.0837
    96   2     6.89588 7.49926 35.6945
    97   1     1.76398 5.41549 31.3605
    98   2     1.68821 4.46609 31.0784
    99   2     1.38504 5.87842 30.5941
    100   1    3.03546 3.75426 34.5659
    101   2    2.42264 3.011 34.484
    102   2    2.45154 4.54363 34.5112
    103   1    10.4259 2.23838 23.0294
    104   2    10.0348 1.37588 23.0355
    105   2    11.1692 2.21519 23.6342
    106   1    3.94218 11.1144 19.951
    107   2    4.65631 11.3098 19.3106
    108   2    4.13465 10.1853 20.0425
    109   1    1.7258 6.26736 34.1363
    110   2    1.61739 6.1839 33.1824
    111   2    1.12276 7.034 34.431
    112   1    10.8448 11.6105 29.6135
    113   2    10.9726 0.0717642 29.1723
    114   2    10.7687 11.8174 30.5911
    115   1    10.2773 11.4868 32.3441
    116   2    10.128 10.4863 32.3076
    117   2    11.1062 11.4843 32.8761
    118   1    1.45861 9.43548 32.4247
    119   2    1.33061 9.44653 31.422
    120   2    2.45594 9.4378 32.567
    121   1    3.9146 11.1857 26.9737
    122   2    4.882 11.3665 26.8068
    123   2    3.79549 10.8939 27.8479
    124   1    8.03649 9.39098 38.6818
    125   2    8.66071 10.1057 38.3255
    126   2    7.51915 9.86308 39.301
    127   1    7.8809 1.08185 31.4084
    128   2    7.36624 0.946774 32.2168
    129   2    8.73727 1.46822 31.6722
    130   1    5.39408 11.2538 17.5783
    131   2    4.86176 10.943 16.8548
    132   2    5.11467 12.1849 17.6529
    133   1    0.787368 4.49988 22.224
    134   2    1.28531 5.3165 22.6159
    135   2    0.704577 3.99937 23.0684
    136   1    3.36357 11.451 22.7517
    137   2    3.60298 11.4067 21.8149
    138   2    3.01613 10.5583 22.9443
    139   1    5.97111 0.0934832 33.5412
    140   2    6.18032 11.7259 33.0111
    141   2    6.78122 0.355411 33.9684
    142   1    6.86281 10.4974 32.3364
    143   2    6.50512 10.4033 31.4028
    144   2    6.66422 9.62463 32.6728
    145   1    4.34755 5.94043 30.2918
    146   2    3.45461 5.79166 30.6482
    147   2    4.95437 5.38115 30.8147
    148   1    2.54499 1.99172 11.764
    149   2    3.0852 1.28119 12.1739
    150   2    1.6962 1.61012 11.7029
    151   1    9.24462 9.74399 35.391
    152   2    8.87971 10.6316 35.6205
    153   2    8.47023 9.21397 35.6507
    154   1    7.94768 5.44699 31.7858
    155   2    8.17396 5.19636 32.6784
    156   2    7.26548 4.8581 31.3268
    157   1    11.4473 5.39799 28.2704
    158   2    12.2802 5.76759 28.6091
    159   2    10.7969 5.54488 28.9732
    160   1    0.282187 8.92901 26.5516
    161   2    1.21305 8.7411 26.8254
    162   2    12.3646 9.35968 27.3755
    163   1    9.65358 8.90667 32.7285
    164   2    9.20952 9.15235 33.5674
    165   2    8.94115 8.46252 32.217
    166   1    5.64947 7.57472 20.9485
    167   2    5.81805 6.63665 20.8554
    168   2    6.48928 7.97536 20.6382
    169   1    3.29465 8.59606 19.9643
    170   2    4.01922 7.93759 20.0366
    171   2    2.88161 8.454 19.1045
    172   1    5.15551 1.4948 18.2243
    173   2    4.35705 2.01281 18.3061
    174   2    5.79725 1.8315 18.8824
    175   1    7.36223 12.3149 28.9263
    176   2    7.44923 0.132072 29.9026
    177   2    8.24364 0.127805 28.5412
    178   1    7.48975 3.11804 35.0499
    179   2    7.98059 3.86775 34.6152
    180   2    6.70222 2.98553 34.4218
    181   1    5.78264 8.08487 17.2828
    182   2    6.65106 8.30168 16.8721
    183   2    5.14495 8.76404 16.973
    184   1    6.80124 11.7288 25.9436
    185   2    7.51116 12.348 26.2969
    186   2    6.1829 12.418 25.6878
    187   1    10.5995 4.66342 25.1412
    188   2    11.5434 4.89031 25.2136
    189   2    10.529 3.73242 25.1395
    190   1    7.57889 6.24628 24.1417
    191   2    7.59321 6.43341 25.0768
    192   2    7.74126 7.11432 23.7339
    193   1    9.21866 1.5536 26.7995
    194   2    9.87941 1.17488 26.2113
    195   2    8.5826 2.07261 26.3137
    196   1    3.22607 6.48326 18.0208
    197   2    4.18088 6.61208 17.8994
    198   2    3.05822 5.65407 18.4206
    199   1    0.691846 0.543339 27.4079
    200   2    0.316366 1.26004 26.8276
    201   2    1.01042 12.3235 26.7552
    202   1    9.06864 10.594 18.1806
    203   2    9.82038 10.2181 17.6653
    204   2    9.22267 11.5494 18.0931
    205   1    5.85974 1.51785 15.549
    206   2    5.50533 1.62259 16.4809
    207   2    6.54955 0.836162 15.5162
    208   1    4.71398 1.10999 24.9405
    209   2    4.46025 2.02927 24.8656
    210   2    4.34015 0.739034 24.1014
    211   1    10.6352 10.7038 20.804
    212   2    11.0261 11.5369 20.3738
    213   2    10.0714 10.4412 20.0535
    214   1    1.07352 6.89897 28.9924
    215   2    1.69799 6.65194 28.2712
    216   2    1.10743 7.85777 29.0275
    217   1    5.33241 4.27906 15.2524
    218   2    5.29103 3.30997 15.0408
    219   2    4.86322 4.68563 14.4353
    220   1    1.33387 0.845721 22.3547
    221   2    1.75784 0.0700593 22.6857
    222   2    2.03781 1.19374 21.6955
    223   1    1.54048 2.74883 30.9584
    224   2    2.08153 2.38255 30.2323
    225   2    0.665245 2.45182 30.6948
    226   1    7.06465 0.884568 22.2065
    227   2    6.61573 0.015503 22.0852
    228   2    6.28197 1.37418 22.571
    229   1    12.249 7.02288 18.8931
    230   2    11.315 7.30563 18.7921
    231   2    0.113084 7.40953 19.7377
    232   1    8.89786 8.83112 26.6314
    233   2    8.13414 9.25116 26.185
    234   2    9.64546 9.31683 26.1816
    235   1    11.1366 2.93078 17.8929
    236   2    10.9429 3.3188 18.807
    237   2    10.8055 3.62639 17.2366
    238   1    6.43256 4.54435 19.6617
    239   2    5.51441 4.43401 19.8237
    240   2    6.52005 4.8218 18.7084
    241   1    1.6203 7.03484 23.537
    242   2    0.982352 7.59357 23.001
    243   2    2.40862 7.58207 23.4943
